name,date_utc,rocket,launchpad,success,payloads,rocket_name,launch_site,launch_region,payload_id,payload_mass_kg,year,latitude,longitude
Iridium NEXT Mission 1,2017-01-14 17:54:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c2b6c3bb0006eeb208'],Falcon 9,VAFB SLC 4E,California,5eb0e4c2b6c3bb0006eeb208,9600.0,2017,34.632093,-120.610829
CRS-10,2017-02-19 14:39:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c3b6c3bb0006eeb209'],Falcon 9,KSC LC 39A,Florida,5eb0e4c3b6c3bb0006eeb209,2490.0,2017,28.6080585,-80.6039558
EchoStar 23,2017-03-16 06:00:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c3b6c3bb0006eeb20a'],Falcon 9,KSC LC 39A,Florida,5eb0e4c3b6c3bb0006eeb20a,5600.0,2017,28.6080585,-80.6039558
SES-10,2017-03-30 22:27:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c3b6c3bb0006eeb20b'],Falcon 9,KSC LC 39A,Florida,5eb0e4c3b6c3bb0006eeb20b,5300.0,2017,28.6080585,-80.6039558
NROL-76,2017-05-01 11:15:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c3b6c3bb0006eeb20c'],Falcon 9,KSC LC 39A,Florida,5eb0e4c3b6c3bb0006eeb20c,,2017,28.6080585,-80.6039558
Inmarsat-5 F4,2017-05-15 23:21:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c3b6c3bb0006eeb20d'],Falcon 9,KSC LC 39A,Florida,5eb0e4c3b6c3bb0006eeb20d,6070.0,2017,28.6080585,-80.6039558
CRS-11,2017-06-03 21:07:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c4b6c3bb0006eeb20e'],Falcon 9,KSC LC 39A,Florida,5eb0e4c4b6c3bb0006eeb20e,2708.0,2017,28.6080585,-80.6039558
BulgariaSat-1,2017-06-23 19:10:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c4b6c3bb0006eeb20f'],Falcon 9,KSC LC 39A,Florida,5eb0e4c4b6c3bb0006eeb20f,3669.0,2017,28.6080585,-80.6039558
Iridium NEXT Mission 2,2017-06-25 20:25:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c4b6c3bb0006eeb210'],Falcon 9,VAFB SLC 4E,California,5eb0e4c4b6c3bb0006eeb210,9600.0,2017,34.632093,-120.610829
Intelsat 35e,2017-07-05 23:35:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c4b6c3bb0006eeb211'],Falcon 9,KSC LC 39A,Florida,5eb0e4c4b6c3bb0006eeb211,6761.0,2017,28.6080585,-80.6039558
